id,address,lat,lng,house_no,city,state_code,zip_code
155,"17809 Batesville Pike, Sherwood, AR 72120 USA",34.88352,-92.2365,17809,Sherwood,AR,72120
900,"7600 Warden Rd, Sherwood, AR 72120 USA",34.82793,-92.1923,7600,Sherwood,AR,72120
1267,"3921 E Kiehl Ave, Sherwood, AR 72120 USA",34.83252,-92.1892,3921,Sherwood,AR,72120
741,"2307 Highway 63 N, Stuttgart, AR 72160 USA",34.53157,-91.5583,2307,Stuttgart,AR,72160
1209,"512 W 22nd St, Stuttgart, AR 72160 USA",34.47973,-91.5583,512,Stuttgart,AR,72160
145,"1408 Hwy 67, Tuckerman, AR 72473 USA",35.71405,-91.2102,1408,Tuckerman,AR,72473
1515,"229 W Central St, Warren, AR 71671 USA",33.60954,-92.0711,229,Warren,AR,71671
1907,"401 N Martin St, Warren, AR 71671 USA",33.61776,-92.0723,401,Warren,AR,71671
343,"233 N Sebastian, West Helena, AR 72390 USA",34.54729,-90.6458,233,West Helena,AR,72390
1601,"208 S Service Rd, West Memphis, AR 72301 USA",35.16847,-90.1867,208,West Memphis,AR,72301
1782,"909 N Missouri St, West Memphis, AR 72301 USA",35.15684,-90.1843,909,West Memphis,AR,72301
1427,"27607 US 65 Hwy, Western Grove, AR 72685 USA",36.09433,-92.9548,27607,Western Grove,AR,72685
1995,"8605 Dollarway Rd, White Hall, AR 71602 USA",34.27774,-92.0919,8605,White Hall,AR,71602
425,"1610 Falls Blvd N, Wynne, AR 72396 USA",35.23768,-90.7831,1610,Wynne,AR,72396
542,"1100 N San Antonio Ave, Douglas, AZ 85607 USA",31.34627,-109.533,1100,Douglas,AZ,85607
1710,"101 E 11th St, Douglas, AZ 85607 USA",31.34531,-109.558,101,Douglas,AZ,85607
1664,"4275 US Highway 68, Golden Valley, AZ 86413 USA",35.22196,-114.216,4275,Golden Valley,AZ,86413
121,"5020 Whelan Dr, Lake Havasu City, AZ 86404 USA",34.55521,-114.35,5020,Lake Havasu City,AZ,86404
406,"8920 S Highway 95, Mohave Valley, AZ 86440 USA",35.00774,-114.598,8920,Mohave Valley,AZ,86440
1364,"453 E White Mountain Blvd, Pinetop, AZ 85935 USA",34.13395,-109.95,453,Pinetop,AZ,85935
149,"2500 W Magnolia Blvd, Burbank, CA 91505 USA",34.17189,-118.335,2500,Burbank,CA,91505
1124,"2398 Jamacha Rd # A, El Cajon, CA 92019 USA",32.74721,-116.929,2398,El Cajon,CA,92019
1125,"2398 Jamacha Rd, El Cajon, CA 92019 USA",32.74721,-116.929,2398,El Cajon,CA,92019
1399,"16427 Sierra Lakes Pkwy, Fontana, CA 92336 USA",34.13688,-117.447,16427,Fontana,CA,92336
925,"4254 Old Sonoma Rd, Napa, CA 94559 USA",38.27188,-122.328,4254,Napa,CA,94559
1663,"1645 W Cameron Ave, Visalia, CA 93277 USA",36.29455,-119.309,1645,Visalia,CA,93277
621,"412 Denver Ave, Alamosa, CO 81101 USA",37.46836,-105.862,412,Alamosa,CO,81101
1486,"20811 E Smoky Hill Rd, Aurora, CO 80015 USA",39.60856,-104.747,20811,Aurora,CO,80015
1867,"130 Harrison St, Buena Vista, CO 81211 USA",38.85093,-106.14,130,Buena Vista,CO,81211
1104,"545 Bald Eagle Way, Carbondale, CO 81623 USA",39.43545,-107.258,545,Carbondale,CO,81623
1485,"20811 E Smoky Hill Rd, Centennial, CO 80015 USA",39.60856,-104.747,20811,Centennial,CO,80015
1514,"921 E Main St, Florence, CO 81226 USA",38.3878,-105.102,921,Florence,CO,81226
1482,"700 4 Ave, Fort Garland, CO 81133 USA",37.42717,-105.432,700,Fort Garland,CO,81133
1533,"130 S Denver Ave, Fort Lupton, CO 80621 USA",40.07954,-104.81,130,Fort Lupton,CO,80621
110,"1597 Cipolla Rd, Fruita, CO 81521 USA",39.16356,-108.758,1597,Fruita,CO,81521
1055,"1589 Cipolla Rd, Fruita, CO 81521 USA",39.16344,-108.759,1589,Fruita,CO,81521
486,"2510 Gilstrap Ct, Glenwood Springs, CO 81601 USA",39.5598,-107.362,2510,Glenwood Springs,CO,81601
759,"14504 E I25 Frontage Rd, Mead, CO 80504 USA",40.21354,-104.979,14504,Mead,CO,80504
834,"1331 Grande Ave, Monte Vista, CO 81144 USA",37.57974,-106.141,1331,Monte Vista,CO,81144
1085,"2351 S Townsend Ave, Montrose, CO 81401 USA",38.46047,-107.865,2351,Montrose,CO,81401
1711,"337 W 1st St, Salida, CO 81201 USA",38.53781,-105.994,337,Salida,CO,81201
1136,"332 Main St, Silt, CO 81652 USA",39.54754,-107.66,332,Silt,CO,81652
1870,"35 E Main St, Silver Cliff, CO 81252 USA",38.13641,-105.457,35,Silver Cliff,CO,81252
1634,"33 Pompey Hollow Rd, Ashford, CT 06278 USA",41.86269,-72.1633,33,Ashford,CT,06278
1608,"465 Providence Rd, Brooklyn, CT 06234 USA",41.79686,-71.9104,465,Brooklyn,CT,06234
1530,"207 S Main St, Torrington, CT 06790 USA",41.79611,-73.12,207,Torrington,CT,06790
628,"1896 Georgia St, Alford, FL 32420 USA",30.70206,-85.3909,1896,Alford,FL,32420
883,"6919 E State Route 70, Bradenton, FL 32403 USA",27.20907,-81.4509,6919,Bradenton,FL,32403
1086,"9326 W C 476, Bushnell, FL 33513 USA",28.6577,-82.1279,9326,Bushnell,FL,33513
545,"2301 W Highway 390, Lynn Haven, FL 32444 USA",30.23321,-85.6281,2301,Lynn Haven,FL,32444
